Balloon filename (gpx),station,expected timeframe
SMT_20220704_231605.gpx,24,2022-07-05 00:35:59+00:00 till 2022-07-05 00:46:21+00:00
SMT_20220929_231830.gpx,21,2022-09-29 23:19:33+00:00 till 2022-09-29 23:19:44+00:00
SMT_20220929_231830.gpx,12,2022-09-29 23:22:05+00:00 till 2022-09-29 23:22:26+00:00
SMT_20220929_231830.gpx,13,2022-09-29 23:23:26+00:00 till 2022-09-29 23:24:54+00:00
SMT_20220921_231851.gpx,12,2022-09-22 10:46:17+00:00 till 2022-09-22 10:46:21+00:00
SMT_20220921_231851.gpx,11,2022-09-22 10:46:15+00:00 till 2022-09-22 10:46:17+00:00
SMT_20220921_231851.gpx,13,2022-09-22 10:46:20+00:00 till 2022-09-22 10:46:23+00:00
SMT_20220818_112412.gpx,11,2022-08-18 12:41:10+00:00 till 2022-08-18 12:45:34+00:00
SMT_20220630_231835.gpx,21,2022-07-01 00:05:20+00:00 till 2022-07-01 00:48:51+00:00
SMT_20220630_231835.gpx,12,2022-07-01 00:13:04+00:00 till 2022-07-01 00:52:19+00:00
SMT_20220630_231835.gpx,11,2022-07-01 00:09:54+00:00 till 2022-07-01 00:52:31+00:00
SMT_20220630_231835.gpx,13,2022-07-01 00:17:53+00:00 till 2022-07-01 00:51:44+00:00
SMT_20220630_231835.gpx,22,2022-07-01 00:10:15+00:00 till 2022-07-01 00:49:02+00:00
SMT_20220630_231835.gpx,23,2022-07-01 00:15:53+00:00 till 2022-07-01 00:48:39+00:00
SMT_20220630_231835.gpx,24,2022-07-01 00:20:06+00:00 till 2022-07-01 00:47:29+00:00
SMT_20220807_231525.gpx,21,2022-08-07 23:07:50+00:00 till 2022-08-07 23:07:50+00:00
SMT_20220807_231525.gpx,12,2022-08-07 23:07:50+00:00 till 2022-08-07 23:07:50+00:00
SMT_20220807_231525.gpx,11,2022-08-07 23:07:50+00:00 till 2022-08-07 23:19:40+00:00
SMT_20220807_231525.gpx,13,2022-08-07 23:07:50+00:00 till 2022-08-07 23:07:50+00:00
SMT_20220807_231525.gpx,22,2022-08-07 23:07:50+00:00 till 2022-08-07 23:07:50+00:00
SMT_20220807_231525.gpx,23,2022-08-07 23:07:50+00:00 till 2022-08-07 23:07:50+00:00
SMT_20220807_231525.gpx,24,2022-08-07 23:07:50+00:00 till 2022-08-07 23:07:50+00:00
SMT_20220727_232120.gpx,21,2022-07-27 23:24:08+00:00 till 2022-07-27 23:26:08+00:00
SMT_20220727_232120.gpx,13,2022-07-27 23:30:04+00:00 till 2022-07-27 23:33:43+00:00
SMT_20220727_232120.gpx,22,2022-07-27 23:26:43+00:00 till 2022-07-27 23:29:16+00:00
SMT_20220727_232120.gpx,23,2022-07-27 23:29:56+00:00 till 2022-07-27 23:34:17+00:00
SMT_20220727_232120.gpx,24,2022-07-27 23:32:40+00:00 till 2022-07-27 23:37:30+00:00
SMT_20220707_112434.gpx,21,2022-07-07 12:14:43+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220707_112434.gpx,12,2022-07-07 12:23:38+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220707_112434.gpx,11,2022-07-07 12:17:20+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220707_112434.gpx,13,2022-07-07 12:26:37+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220707_112434.gpx,22,2022-07-07 12:17:54+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220707_112434.gpx,23,2022-07-07 12:24:15+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220707_112434.gpx,24,2022-07-07 12:28:55+00:00 till 2022-07-07 12:49:22+00:00
SMT_20220617_231459.gpx,22,2022-06-17 23:17:31+00:00 till 2022-06-17 23:18:04+00:00
SMT_20220826_231852.gpx,22,2022-08-26 23:24:42+00:00 till 2022-08-26 23:26:01+00:00
SMT_20220826_231852.gpx,23,2022-08-26 23:26:21+00:00 till 2022-08-26 23:28:45+00:00
SMT_20220826_231852.gpx,24,2022-08-26 23:28:20+00:00 till 2022-08-26 23:30:42+00:00
SMT_20220815_230725.gpx,11,2022-08-16 00:31:12+00:00 till 2022-08-16 00:34:21+00:00
